"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,subjectparticipant_basic_information,,text,"Record ID",,,,,,,,,,,,,
age,subjectparticipant_basic_information,,text,Age,,,,,,,,,,,,,
selected_language,subjectparticipant_basic_information,,radio,Language,"1, English | 2, French | 3, Spanish",,,,,,,y,,,,,
selected_language_2,subjectparticipant_basic_information,,radio,Language,"en-US, English | fr-CA, French | es-419, Spanish",,,,,,,,,,,,
consent_status,subjectparticipant_basic_information,,radio,"Consent Status","1, Pending | 2, Consented | 3, Withdrawn Consent | 4, Removed From Eligibility",,,,,,,y,,,,,
contact_participant,subjectparticipant_basic_information,,radio,"Contact participant re: incidental findings?","yes, Yes | no, No",,,,,,,,,,,,
consent_date,subjectparticipant_basic_information,,text,"Consent Date",,,date_mdy,,,y,"[consent_status] = 2",y,,,,,
consent_method,subjectparticipant_basic_information,,radio,"Consent Method","paper, Paper Consent | econsent, eConsent",,,,,,"[consent_status] = '2'",y,,,,,
withdrawn_consent_reason,subjectparticipant_basic_information,,text,"Withdrawn Consent Reason",,,,,,y,"[consent_status] = 3",,,,,,
withdrawn_consent_date,subjectparticipant_basic_information,,text,"Withdrawn Consent Date",,,date_mdy,,,y,"[consent_status] = 3",y,,,,,
is_feasibility_participant,subjectparticipant_basic_information,,radio,"Is Feasibility Participant?","yes, Yes | no, No",,,,,,,y,,,,,
is_remote_data_collection_enabled,subjectparticipant_basic_information,,radio,"Is Remote Data Collection Enabled?","yes, Yes | no, No",,,,,,,y,,,,," @READONLY"
enrolled,subjectparticipant_basic_information,"Enrollment Details",yesno,Enrolled,,,,,,,,y,,,,,
enrollment_reason,subjectparticipant_basic_information,,text,"Enrollment Reason

To be completed when enrolling a person that declined initially.",,,,,,y,"[enrolled] = 1",,,,,,
enrollment_institution,subjectparticipant_basic_information,,radio,"Enrollment Institution","mit, MIT | mt_sinai, Mt. Sinai | sickkids, SickKids | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,y,,,,,
researcher_email,subjectparticipant_basic_information,,text,"Researcher Email",,,email,,,y,,,,,,,
participant_data_collection_origins,subjectparticipant_basic_information,"Data Collection Details",checkbox,"Data Collection - origin(s)","app, Bridge2AI App | website, Bridge2AI Web App | reproschema, Bridge2AI Reproschema",,,,,,,,,,,," @READONLY"
participant_data_collection_via,subjectparticipant_basic_information,,checkbox,"Data Collection - via","data_collector, Data Collector | participant, Participant",,,,,,,,,,,," @READONLY"
api_updates_on_behalf_of,subjectparticipant_basic_information,,text,"API Updates on behalf of",,,email,,,y,,,,,,," @READONLY"
participant_study_id,subjectparticipant_contact_information,"Contact Information",text,"Participant Study ID",,,,,,y,,,,,,,
first_name,subjectparticipant_contact_information,,text,"First Name",,,,,,y,,,,,,,
last_name,subjectparticipant_contact_information,,text,"Last Name",,,,,,y,,,,,,,
dob,subjectparticipant_contact_information,,text,"What is your date of birth?",,,date_ymd,,,y,,,,,,,
phone_number,subjectparticipant_contact_information,,text,"Phone Number",,###-###-####,,,,y,,,,,,,
email,subjectparticipant_contact_information,,text,Email,,,email,,,y,,,,,,,
contact_info_stored,subjectparticipant_contact_information,,yesno,"[DEPRECATED] I want my contact information to be kept in a repository for this study which can be used to contact me to ask me to enroll in further studies or return important results. My information will not be shared with third parties.",,,,,,,,,,,,,
eligible_studies,subjectparticipant_eligible_studies,"Eligible Studies",checkbox,"Eligible Studies","1, Voice Disorders | 2, Neurological and Neurodegenerative Disorders | 3, Mood and Psychiatric Disorders | 4, Respiratory Disorders | age_2_4, Pediatric Disorders - Ages [2-4) | age_4_6, Pediatric Disorders - Ages [4-6) | age_6_10, Pediatric Disorders - Ages [6-10) | age_10_plus, Pediatric Disorders - Ages 10+",,,,,,,y,,,,,
is_control_participant,subjectparticipant_eligible_studies,,radio,"Is Control Participant?","yes, Yes | no, No",,,,,,,y,,,,,
cond_sel_prompt,subjectparticipant_eligible_studies,"Do you have any of these conditions, diagnosed by a clinician?",descriptive,"(Check all that apply if you currently have the condition)",,,,,,,,,,,,,
glottic_insufficiency,subjectparticipant_eligible_studies,"Voice Disorders",radio,"Glottic Insufficiency / Presbyphonia","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
laryng_cancer,subjectparticipant_eligible_studies,,radio,"Laryngeal Cancer","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
laryngitis,subjectparticipant_eligible_studies,,radio,Laryngitis,"0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
benign_cord_lesion,subjectparticipant_eligible_studies,,radio,"Lesions of the vocal cord (nodule, polyp, cyst)","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
mtd,subjectparticipant_eligible_studies,,radio,"Muscle Tension Dysphonia (MTD)","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
rrp,subjectparticipant_eligible_studies,,radio,"Recurrent Laryngeal Papilloma (RRP)","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
spas_dys,subjectparticipant_eligible_studies,,radio,"Spasmodic Dysphonia / Laryngeal Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
voc_fold_paralysis,subjectparticipant_eligible_studies,,radio,"Unilateral Vocal Fold Paralysis","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
alz_dementia_mci,subjectparticipant_eligible_studies,"Neurological and Neurodegenerative Disorders",radio,"Alzheimer's, Dementia, or Mild Cognitive Impairment","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
als,subjectparticipant_eligible_studies,,radio,"Amyotrophic Lateral Sclerosis (ALS)","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
